"var","par","lab","mean","se_mean","sd","X2.5.","X10.","X50.","X90.","X97.5.","n_eff","Rhat"
"nox","b_d","degrd",-0.13772475958359,0.00392070225592014,0.148042906939059,-0.458347184560661,-0.315567490079558,-0.132334601277182,0.0365461435441536,0.135081687465917,1425.76346999078,0.999309737858382
"nox","b_r","restr",0.38679875362793,0.00204938920277766,0.113500792782275,0.169782727455119,0.240473123871419,0.385906105627072,0.532179829569969,0.611078374644206,3067.248073997,1.00060060840862
"nox","b_dp","degrd:rain1",0.0857822517514914,0.000184384926369103,0.0119224780936551,0.0612759804688349,0.070623990857065,0.0858310555763262,0.101081040900063,0.108632588173307,4181.01993102642,1.00110664904165
"nox","b_rp","restr:rain1",-0.791557824804207,0.00145220244972954,0.0849716268897492,-0.95489942365934,-0.900617864247007,-0.791599903038965,-0.680845555364038,-0.624566734001026,3423.68292466129,1.00084584812616
"nox","b_add1","septic",0.407428954947113,0.00357384772230048,0.136368954329227,0.135422682522807,0.243189407508876,0.411256332303665,0.567281761093617,0.676559034810297,1455.99181385745,1.00074764890024
"nox","b_add1p","septic:rain1",-0.148726469914356,0.000141788022757952,0.0103629767835983,-0.16887598409572,-0.16206072646624,-0.148833645747871,-0.135443868459161,-0.128108510997586,5341.82870874168,0.999476241959341
"nox","b_add2","season",-0.109636474835584,0.000100736958549284,0.00753031260235862,-0.124258999975051,-0.119109082904885,-0.109753523805484,-0.0999277263436244,-0.0943445113110663,5587.89634616093,0.999284846278551
"nox","b_add3","rain365",0.144481842796253,0.000148128335780997,0.0105685582736811,0.123642343052558,0.130903686175579,0.144376383734967,0.158240732643049,0.164903200835631,5090.43862586579,1.00031436752977
"nox","b_t","time",0.00728846172586362,9.7271272316722e-05,0.00710210470908955,-0.00627284006816431,-0.00168931969103364,0.00713978273161509,0.0165799886057994,0.0214205144241077,5330.95416996163,0.999766225666344
"nox","b_auto_t","autoT",0.421700709463606,0.000337462301603037,0.0233814624139982,0.375219027017405,0.392220561851004,0.421438593333972,0.45194555312776,0.467795379102457,4800.57007501623,0.999683969856232
"nox","b_auto_s","autoS",0.873952129400833,0.00092622757839128,0.0630930929658227,0.752114486835653,0.793532283904757,0.874426479747879,0.955749972179986,0.996906952292318,4640.10940099284,0.999338061538226
"nox","a_s[1]","Sa",0.0608266856841934,0.00668529255043419,0.241207730970567,-0.410152310759291,-0.221936676024377,0.0585020786145087,0.341944810157251,0.545674039103468,1301.79204360917,1.00048747068844
"nox","a_s[2]","Ly",-0.0521093090179887,0.00828842149193904,0.336802869313731,-0.747638601939105,-0.460128186231612,-0.041275446432639,0.352957348735596,0.580581816674978,1651.23128761932,1.00008418248489
"nox","a_s[3]","Ol",0.0701882992581862,0.00654021252410906,0.237383253971104,-0.414354115430749,-0.216736058194993,0.0765661071465602,0.351401073168561,0.510665644801365,1317.39628837798,1.00010660107105
"nox","a_s[4]","Br",0.396592354415889,0.00551245346975533,0.181024120444092,0.0664303571642061,0.18650935916855,0.387335563044275,0.616051258899079,0.806936015710979,1078.40779589743,1.00166706058293
"nox","a_s[5]","Fe",0.125560062553341,0.0044944387198622,0.15287792477184,-0.162117532999199,-0.0576041029450086,0.12305099069597,0.309785871512317,0.455291874126021,1157.01404501987,1.00095154203725
"nox","a_s[6]","D4",0.135116724456943,0.00385744775542309,0.133837498065576,-0.123914870512695,-0.0213866738353881,0.129909764764974,0.294875968515435,0.411047431762633,1203.80325495159,1.00136828988845
"nox","a_s[7]","D8",0.00272696010106426,0.0036282039100705,0.127268686737678,-0.25261002774328,-0.146895938864659,4.77569196319716e-05,0.155063915955268,0.258937641345201,1230.43804615803,1.00124395651348
