"site","x","rain1","rain1_p_ind","var","comparison","d050","d025","d975"
"L1",1,0,1,"nh3","NvS",0.00136075904530808,0.000266982315500081,0.0036323863966308
"L1",2,2,3,"nh3","NvS",0.00205734682120244,0.000611623462450177,0.00504596363637411
"L1",3,8,5,"nh3","NvS",0.00303918721313581,0.00102752593256332,0.00716874232649096
"L1",4,20,7,"nh3","NvS",0.00406057403517506,0.00143873657734082,0.00939622376155384
"L1",6,0,1,"nh3","SvR",0.012037718433667,-0.00248797264469431,0.0289358934455877
"L1",7,2,3,"nh3","SvR",0.0160940077238693,-0.00201886208212585,0.0375972431571013
"L1",8,8,5,"nh3","SvR",0.0214266055560007,-0.00134328461107729,0.0489406484436816
"L1",9,20,7,"nh3","SvR",0.02664613830758,-0.000377760654503511,0.0602039324510146
"D8",1,0,1,"tss","NvS",0.126512015383844,-0.966551927836474,1.30626094272994
"D8",2,2,3,"tss","NvS",-0.180784460665548,-2.56636611716562,2.34903497736535
"D8",3,8,5,"tss","NvS",-1.52980786630238,-7.21123214480482,4.60457124755333
"D8",4,20,7,"tss","NvS",-4.71638252499861,-16.7824013507903,7.97820314066869
"D8",6,0,1,"tss","SvR",-6.09800430889165,-13.1896707354181,-1.84045689808947
"D8",7,2,3,"tss","SvR",-9.94045278072022,-23.6839467001614,-1.60514432093589
"D8",8,8,5,"tss","SvR",-14.5646795065849,-41.5338172480786,1.86129776881021
"D8",9,20,7,"tss","SvR",-16.2806597494237,-63.4900458655968,12.2582318924613
"D4",1,0,1,"tss","NvS",0.0709722297447573,-0.521571846847594,0.760715936942129
"D4",2,2,3,"tss","NvS",-0.10324604537772,-1.39420508501062,1.35745288399177
"D4",3,8,5,"tss","NvS",-0.862940911296178,-3.96478277533099,2.70310638601935
"D4",4,20,7,"tss","NvS",-2.66914648240821,-9.14270293253976,4.65940096946313
"D4",6,0,1,"tss","SvR",-6.33535881321794,-13.6309420888033,-1.99748925364048
"D4",7,2,3,"tss","SvR",-10.5225082407321,-24.604785467058,-2.02417895366884
"D4",8,8,5,"tss","SvR",-16.1033357938184,-43.6335251576804,0.827229690414175
"D4",9,20,7,"tss","SvR",-19.5936171459847,-67.7521660208182,9.39456215030528
